BatchId,Date,Region,Channel,Product,Revenue,Orders,Returns
BATCH-001125,2025-01-03,East,Web,Grocery,2268,62,2
BATCH-002028,2025-01-03,North,Mobile,Personal Care,6974,162,7
BATCH-002337,2025-01-03,West,Retail,Pet Care,1912,30,0
BATCH-002485,2025-01-03,East,Retail,Home,10242,128,6
BATCH-002832,2025-01-03,North,Web,Home,2466,28,1
BATCH-003375,2025-01-03,North,Web,Grocery,5094,122,3
BATCH-003618,2025-01-03,West,Mobile,Pet Care,4120,58,2
BATCH-003688,2025-01-03,West,Partner,Personal Care,7169,129,5
BATCH-003709,2025-01-03,East,Mobile,Pet Care,8759,140,9
BATCH-004063,2025-01-03,East,Mobile,Pet Care,3768,72,3
BATCH-004195,2025-01-03,East,Web,Home,5164,57,4
BATCH-004836,2025-01-03,South,Mobile,Pet Care,8541,159,6
BATCH-000591,2025-01-04,East,Mobile,Pet Care,7937,112,5
BATCH-000694,2025-01-04,South,Partner,Home,9988,133,2
BATCH-001132,2025-01-04,North,Mobile,Beverages,2350,81,5
BATCH-001429,2025-01-04,South,Retail,Pet Care,2918,52,2
BATCH-001494,2025-01-04,North,Mobile,Beverages,3233,108,3
BATCH-001640,2025-01-04,North,Retail,Home,9094,92,5
BATCH-001698,2025-01-04,South,Retail,Pet Care,7674,114,4
BATCH-001816,2025-01-04,East,Partner,Pet Care,2948,53,1
BATCH-002052,2025-01-04,West,Web,Home,12890,182,6
BATCH-002267,2025-01-04,North,Retail,Pet Care,5268,90,1
BATCH-002433,2025-01-04,East,Web,Personal Care,1572,29,1
BATCH-003093,2025-01-04,North,Web,Pet Care,7728,118,6
BATCH-003584,2025-01-04,East,Mobile,Personal Care,2114,46,2
BATCH-004134,2025-01-04,West,Web,Personal Care,2304,44,2
BATCH-004309,2025-01-04,North,Partner,Personal Care,1292,25,1
BATCH-004523,2025-01-04,West,Partner,Grocery,5512,127,3
BATCH-004769,2025-01-04,North,Web,Pet Care,7208,97,3
BATCH-004778,2025-01-04,South,Mobile,Grocery,2932,80,2
BATCH-000062,2025-01-05,West,Web,Pet Care,2085,33,1
BATCH-000403,2025-01-05,North,Mobile,Pet Care,1887,27,1
BATCH-000643,2025-01-05,South,Partner,Grocery,5713,112,1
BATCH-001188,2025-01-05,West,Mobile,Pet Care,5539,105,4
BATCH-001374,2025-01-05,East,Web,Beverages,5473,168,6
BATCH-001398,2025-01-05,South,Partner,Personal Care,6433,127,5
BATCH-001586,2025-01-05,West,Partner,Beverages,4909,190,9
BATCH-002759,2025-01-05,West,Web,Beverages,4245,178,5
BATCH-002772,2025-01-05,West,Web,Home,11926,162,7
BATCH-003565,2025-01-05,East,Retail,Home,15494,162,6
BATCH-003934,2025-01-05,South,Web,Personal Care,4469,99,6
BATCH-003959,2025-01-05,West,Web,Home,12579,175,4
BATCH-004223,2025-01-05,South,Mobile,Home,4486,62,3
BATCH-004286,2025-01-05,West,Partner,Beverages,761,25,0
BATCH-004592,2025-01-05,South,Partner,Personal Care,2618,54,2
BATCH-004668,2025-01-05,East,Web,Grocery,7805,163,5
BATCH-000356,2025-01-06,West,Web,Grocery,1419,34,1
BATCH-000359,2025-01-06,West,Mobile,Personal Care,5621,102,3
BATCH-000455,2025-01-06,South,Retail,Personal Care,8611,179,7
BATCH-001202,2025-01-06,East,Web,Pet Care,8495,138,3
BATCH-001773,2025-01-06,East,Retail,Beverages,3000,111,5
BATCH-001826,2025-01-06,South,Retail,Grocery,8054,193,8
BATCH-002211,2025-01-06,West,Retail,Beverages,2843,122,5
BATCH-002484,2025-01-06,East,Mobile,Pet Care,11863,166,8
BATCH-003314,2025-01-06,South,Partner,Home,17466,200,7
BATCH-003504,2025-01-06,West,Mobile,Pet Care,5776,85,3
BATCH-003633,2025-01-06,West,Web,Home,4983,67,3
BATCH-003707,2025-01-06,South,Partner,Beverages,2247,69,3
BATCH-003922,2025-01-06,North,Web,Home,13757,178,7
BATCH-003991,2025-01-06,South,Partner,Beverages,5534,198,5
BATCH-004197,2025-01-06,West,Retail,Pet Care,5618,96,4
BATCH-004253,2025-01-06,West,Mobile,Beverages,3174,106,6
BATCH-004433,2025-01-06,East,Partner,Beverages,4015,122,5
BATCH-004442,2025-01-06,East,Web,Personal Care,7864,179,8
BATCH-004837,2025-01-06,East,Web,Grocery,6852,186,7
BATCH-004849,2025-01-06,West,Partner,Personal Care,7583,129,4
BATCH-000084,2025-01-07,North,Mobile,Personal Care,2446,41,2
BATCH-000181,2025-01-07,East,Mobile,Grocery,2800,55,1
BATCH-000638,2025-01-07,South,Partner,Home,10123,141,8
BATCH-000992,2025-01-07,East,Retail,Personal Care,3329,73,1
BATCH-001119,2025-01-07,East,Partner,Personal Care,4995,97,2
BATCH-001206,2025-01-07,West,Web,Home,7550,99,2
BATCH-001544,2025-01-07,East,Mobile,Beverages,2972,117,7
BATCH-001564,2025-01-07,South,Partner,Grocery,6542,129,7
BATCH-001780,2025-01-07,North,Web,Personal Care,10031,167,6
BATCH-001882,2025-01-07,East,Partner,Grocery,3499,91,2
BATCH-003021,2025-01-07,North,Web,Pet Care,12669,184,8
BATCH-003133,2025-01-07,West,Partner,Beverages,3557,127,6
BATCH-003173,2025-01-07,West,Mobile,Personal Care,6435,139,8
BATCH-003390,2025-01-07,North,Retail,Pet Care,10010,178,5
BATCH-003706,2025-01-07,West,Web,Beverages,2153,67,4
BATCH-003716,2025-01-07,West,Mobile,Pet Care,2942,44,2
BATCH-004576,2025-01-07,North,Web,Pet Care,9130,129,8
BATCH-004751,2025-01-07,East,Partner,Pet Care,12290,189,7
BATCH-004982,2025-01-07,North,Partner,Pet Care,2902,43,1
BATCH-000053,2025-01-08,West,Web,Grocery,5721,150,9
BATCH-000831,2025-01-08,South,Retail,Grocery,4023,108,1
BATCH-001069,2025-01-08,East,Partner,Pet Care,7083,136,2
BATCH-001502,2025-01-08,South,Partner,Personal Care,8827,165,6
BATCH-001934,2025-01-08,North,Partner,Beverages,3557,137,5
BATCH-002317,2025-01-08,East,Retail,Grocery,7456,166,4
BATCH-002899,2025-01-08,East,Mobile,Grocery,6750,172,8
BATCH-003345,2025-01-08,North,Partner,Pet Care,11915,164,7
BATCH-003591,2025-01-08,East,Web,Pet Care,2534,45,2
BATCH-003824,2025-01-08,West,Mobile,Pet Care,2698,44,1
BATCH-003885,2025-01-08,West,Mobile,Grocery,6414,166,4
BATCH-004655,2025-01-08,West,Retail,Pet Care,5283,81,4
BATCH-004707,2025-01-08,West,Mobile,Grocery,4565,108,4
BATCH-004779,2025-01-08,South,Retail,Pet Care,3806,71,3
BATCH-000175,2025-01-09,West,Web,Grocery,4324,87,4
BATCH-000240,2025-01-09,South,Mobile,Personal Care,1690,35,1
BATCH-000444,2025-01-09,North,Retail,Pet Care,10223,183,8
BATCH-000669,2025-01-09,South,Retail,Personal Care,6318,136,5
BATCH-000984,2025-01-09,East,Partner,Grocery,2713,53,1
BATCH-001078,2025-01-09,East,Web,Grocery,8819,190,9
BATCH-001545,2025-01-09,East,Partner,Personal Care,2367,52,2
BATCH-001622,2025-01-09,South,Web,Home,12162,133,5
BATCH-001693,2025-01-09,West,Retail,Personal Care,2863,67,1
BATCH-002142,2025-01-09,West,Web,Personal Care,3851,82,2
BATCH-002992,2025-01-09,South,Web,Beverages,928,29,1
BATCH-003947,2025-01-09,West,Partner,Grocery,5817,122,6
BATCH-004466,2025-01-09,West,Web,Home,6165,75,5
BATCH-000192,2025-01-10,East,Web,Beverages,1181,36,2
BATCH-001406,2025-01-10,North,Mobile,Beverages,2188,69,5
BATCH-001557,2025-01-10,South,Mobile,Personal Care,1524,33,2
BATCH-001609,2025-01-10,South,Web,Pet Care,11272,167,10
BATCH-002396,2025-01-10,West,Retail,Beverages,3196,137,2
BATCH-002534,2025-01-10,North,Retail,Beverages,1575,68,3
BATCH-003241,2025-01-10,West,Mobile,Personal Care,6681,129,5
BATCH-003319,2025-01-10,South,Partner,Home,6711,83,1
BATCH-003454,2025-01-10,South,Partner,Home,15996,177,10
BATCH-003494,2025-01-10,North,Web,Grocery,9266,184,11
BATCH-004374,2025-01-10,West,Partner,Beverages,1589,63,3
BATCH-004962,2025-01-10,West,Mobile,Home,18443,183,5
BATCH-000338,2025-01-11,North,Retail,Personal Care,1475,32,2
BATCH-001484,2025-01-11,East,Mobile,Beverages,3115,95,4
BATCH-001764,2025-01-11,West,Partner,Personal Care,4280,82,2
BATCH-002164,2025-01-11,South,Web,Personal Care,6674,109,3
BATCH-002338,2025-01-11,South,Mobile,Home,7791,83,2
BATCH-003023,2025-01-11,South,Partner,Personal Care,6625,135,6
BATCH-003594,2025-01-11,West,Web,Grocery,1412,35,1
BATCH-003829,2025-01-11,East,Web,Pet Care,7802,150,5
BATCH-004085,2025-01-11,South,Retail,Home,12508,126,6
BATCH-004893,2025-01-11,South,Retail,Pet Care,5009,74,3
BATCH-000168,2025-01-12,North,Retail,Personal Care,9171,154,8
BATCH-000170,2025-01-12,West,Web,Personal Care,4347,74,2
BATCH-000179,2025-01-12,North,Mobile,Personal Care,2608,44,2
BATCH-001071,2025-01-12,North,Mobile,Home,17338,176,4
BATCH-001381,2025-01-12,West,Web,Personal Care,3878,87,3
BATCH-001719,2025-01-12,West,Retail,Grocery,6086,121,4
BATCH-001778,2025-01-12,North,Retail,Grocery,5069,122,7
BATCH-001927,2025-01-12,East,Mobile,Home,12308,161,6
BATCH-002044,2025-01-12,East,Partner,Grocery,8752,194,11
BATCH-002569,2025-01-12,East,Web,Beverages,970,31,2
BATCH-002622,2025-01-12,South,Web,Home,16902,185,9
BATCH-002764,2025-01-12,South,Retail,Pet Care,2064,37,2
BATCH-003420,2025-01-12,East,Mobile,Home,6989,81,4
BATCH-003915,2025-01-12,South,Retail,Home,10713,138,4
BATCH-004417,2025-01-12,South,Retail,Grocery,4982,102,4
BATCH-004427,2025-01-12,South,Retail,Grocery,6348,130,5
BATCH-004654,2025-01-12,North,Retail,Beverages,1492,62,1
BATCH-004802,2025-01-12,West,Partner,Pet Care,4748,71,2
BATCH-004943,2025-01-12,North,Retail,Personal Care,7903,152,2
BATCH-000740,2025-01-13,North,Partner,Personal Care,2996,62,1
BATCH-001261,2025-01-13,West,Partner,Home,6153,87,2
BATCH-001326,2025-01-13,West,Partner,Grocery,4104,81,2
BATCH-001710,2025-01-13,South,Retail,Personal Care,2196,51,2
BATCH-001925,2025-01-13,North,Web,Beverages,6156,189,11
BATCH-003270,2025-01-13,West,Partner,Beverages,3285,122,2
BATCH-004310,2025-01-13,East,Partner,Personal Care,5223,94,2
BATCH-004410,2025-01-13,East,Web,Pet Care,5158,93,3
BATCH-000151,2025-01-14,North,Partner,Beverages,2862,104,4
BATCH-000316,2025-01-14,South,Partner,Personal Care,2204,38,2
BATCH-001167,2025-01-14,South,Web,Grocery,7771,194,9
BATCH-001376,2025-01-14,South,Retail,Home,9783,100,3
BATCH-001647,2025-01-14,South,Mobile,Grocery,5464,149,10
BATCH-001902,2025-01-14,East,Retail,Home,12217,129,5
BATCH-002392,2025-01-14,East,Web,Beverages,3499,126,8
BATCH-003382,2025-01-14,North,Web,Grocery,1302,33,1
BATCH-004080,2025-01-14,West,Web,Beverages,5094,175,9
BATCH-004196,2025-01-14,South,Web,Home,2949,30,2
BATCH-000169,2025-01-15,West,Partner,Pet Care,6400,113,4
BATCH-000449,2025-01-15,South,Partner,Personal Care,6796,132,2
BATCH-000722,2025-01-15,East,Partner,Grocery,8702,172,2
BATCH-001006,2025-01-15,South,Mobile,Grocery,7393,147,9
BATCH-001771,2025-01-15,East,Web,Grocery,1065,26,1
BATCH-001873,2025-01-15,East,Partner,Grocery,6148,131,4
BATCH-002073,2025-01-15,West,Web,Personal Care,5116,86,6
BATCH-002112,2025-01-15,North,Retail,Personal Care,1344,30,1
BATCH-002595,2025-01-15,South,Retail,Home,7910,109,6
BATCH-003717,2025-01-15,South,Web,Home,3712,38,1
BATCH-003772,2025-01-15,South,Web,Grocery,5898,132,4
BATCH-004172,2025-01-15,North,Web,Personal Care,5135,99,6
BATCH-004342,2025-01-15,West,Partner,Beverages,4112,145,7
BATCH-004631,2025-01-15,West,Partner,Beverages,4906,180,7
BATCH-004731,2025-01-15,South,Retail,Home,11506,117,2
BATCH-004981,2025-01-15,East,Retail,Beverages,5101,167,8
BATCH-000838,2025-01-16,West,Web,Personal Care,1976,41,2
BATCH-002559,2025-01-16,South,Partner,Grocery,7216,183,3
BATCH-003043,2025-01-16,South,Retail,Grocery,5787,129,4
BATCH-003088,2025-01-16,North,Web,Pet Care,2776,39,1
BATCH-003671,2025-01-16,East,Partner,Beverages,1109,35,2
BATCH-003939,2025-01-16,West,Partner,Home,6338,88,5
BATCH-004313,2025-01-16,West,Mobile,Home,3884,51,2
BATCH-004361,2025-01-16,South,Partner,Beverages,4674,151,5
BATCH-004472,2025-01-16,South,Partner,Home,3992,41,2
BATCH-004638,2025-01-16,South,Mobile,Pet Care,5448,93,4
BATCH-000132,2025-01-17,North,Retail,Home,13790,183,6
BATCH-000913,2025-01-17,North,Retail,Personal Care,6568,134,3
BATCH-000994,2025-01-17,East,Mobile,Grocery,3158,64,2
BATCH-001253,2025-01-17,East,Web,Personal Care,8425,159,5
BATCH-001810,2025-01-17,East,Mobile,Home,5475,63,3
BATCH-002148,2025-01-17,West,Partner,Home,9644,108,2
BATCH-002157,2025-01-17,West,Retail,Home,11560,137,6
BATCH-002383,2025-01-17,West,Retail,Beverages,890,37,2
BATCH-002477,2025-01-17,North,Web,Pet Care,9582,147,9
BATCH-002706,2025-01-17,North,Mobile,Grocery,4678,127,8
BATCH-003276,2025-01-17,West,Partner,Personal Care,2690,44,1
BATCH-003589,2025-01-17,South,Partner,Personal Care,8190,185,5
BATCH-003889,2025-01-17,North,Web,Personal Care,1397,32,1
BATCH-004102,2025-01-17,East,Retail,Personal Care,7236,159,7
BATCH-004238,2025-01-17,West,Partner,Home,7869,94,2
BATCH-004362,2025-01-17,West,Retail,Beverages,4854,183,5
BATCH-004722,2025-01-17,East,Web,Pet Care,4950,72,4
BATCH-004856,2025-01-17,South,Partner,Pet Care,1574,27,1
BATCH-004883,2025-01-17,South,Mobile,Grocery,2146,53,2
BATCH-000152,2025-01-18,East,Mobile,Home,14082,150,4
BATCH-000465,2025-01-18,North,Mobile,Pet Care,4602,86,2
BATCH-001187,2025-01-18,East,Web,Home,18019,178,5
BATCH-002147,2025-01-18,North,Web,Beverages,4134,157,6
BATCH-002202,2025-01-18,South,Partner,Personal Care,7735,135,3
BATCH-002762,2025-01-18,East,Retail,Personal Care,5357,104,6
BATCH-002852,2025-01-18,South,Mobile,Pet Care,9973,158,4
BATCH-002889,2025-01-18,West,Mobile,Grocery,1410,36,1
BATCH-002923,2025-01-18,South,Partner,Home,3931,40,2
BATCH-003159,2025-01-18,North,Web,Grocery,2439,60,3
BATCH-003470,2025-01-18,East,Partner,Personal Care,8431,171,9
BATCH-003538,2025-01-18,South,Partner,Personal Care,3173,60,2
BATCH-003954,2025-01-18,North,Mobile,Pet Care,13365,184,4
BATCH-000811,2025-01-19,South,Partner,Personal Care,8590,180,9
BATCH-000910,2025-01-19,South,Web,Home,13262,131,5
BATCH-001629,2025-01-19,South,Web,Personal Care,9072,151,6
BATCH-001894,2025-01-19,North,Mobile,Home,17838,187,11
BATCH-002050,2025-01-19,West,Partner,Home,15477,187,4
BATCH-003519,2025-01-19,South,Web,Personal Care,1749,34,2
BATCH-003910,2025-01-19,East,Mobile,Home,14855,150,10
BATCH-003938,2025-01-19,North,Retail,Personal Care,6841,129,3
BATCH-004077,2025-01-19,South,Retail,Grocery,4237,111,3
BATCH-004349,2025-01-19,East,Web,Pet Care,4791,86,5
BATCH-004379,2025-01-19,West,Partner,Beverages,2247,93,5
BATCH-004869,2025-01-19,South,Web,Beverages,3228,107,6
BATCH-004875,2025-01-19,North,Retail,Personal Care,1005,21,1
BATCH-000092,2025-01-20,South,Mobile,Home,7739,81,2
BATCH-000612,2025-01-20,South,Web,Beverages,5196,162,6
BATCH-000970,2025-01-20,East,Partner,Home,6068,65,3
BATCH-001418,2025-01-20,East,Partner,Pet Care,10328,172,2
BATCH-001425,2025-01-20,North,Mobile,Grocery,2185,51,2
BATCH-001440,2025-01-20,West,Partner,Personal Care,5400,103,4
BATCH-001679,2025-01-20,South,Mobile,Personal Care,9294,175,11
BATCH-002580,2025-01-20,East,Mobile,Beverages,2863,123,3
BATCH-003151,2025-01-20,South,Partner,Grocery,7591,149,4
BATCH-003225,2025-01-20,East,Partner,Pet Care,1903,31,0
BATCH-003320,2025-01-20,North,Retail,Pet Care,4877,74,3
BATCH-003557,2025-01-20,East,Partner,Home,11600,142,3
BATCH-003692,2025-01-20,East,Web,Home,6250,83,4
BATCH-004019,2025-01-20,North,Web,Personal Care,3362,75,3
BATCH-004050,2025-01-20,East,Retail,Personal Care,5559,120,5
BATCH-004233,2025-01-20,East,Web,Grocery,8422,164,11
BATCH-004516,2025-01-20,North,Web,Home,11564,121,4
BATCH-004694,2025-01-20,South,Retail,Beverages,4328,182,5
BATCH-004750,2025-01-20,West,Retail,Grocery,7230,165,8
BATCH-004828,2025-01-20,West,Web,Pet Care,7014,109,7
BATCH-000398,2025-01-21,North,Partner,Pet Care,4110,68,2
BATCH-000585,2025-01-21,North,Retail,Beverages,4760,163,7
BATCH-001351,2025-01-21,West,Mobile,Grocery,1375,34,1
BATCH-001401,2025-01-21,West,Mobile,Personal Care,7703,129,6
BATCH-001688,2025-01-21,East,Web,Pet Care,7913,111,2
BATCH-001701,2025-01-21,West,Web,Beverages,6053,194,5
BATCH-001804,2025-01-21,South,Mobile,Pet Care,9126,162,9
BATCH-002019,2025-01-21,South,Retail,Grocery,5691,154,6
BATCH-002546,2025-01-21,East,Mobile,Pet Care,5059,85,5
BATCH-002841,2025-01-21,East,Mobile,Home,4037,47,3
BATCH-002953,2025-01-21,North,Web,Personal Care,2376,46,3
BATCH-002993,2025-01-21,East,Retail,Home,13947,161,4
BATCH-003024,2025-01-21,North,Web,Beverages,663,26,1
BATCH-003348,2025-01-21,West,Web,Home,7792,106,6
BATCH-003590,2025-01-21,South,Mobile,Beverages,2183,74,4
BATCH-003942,2025-01-21,West,Retail,Grocery,5142,101,3
BATCH-004120,2025-01-21,North,Mobile,Home,7539,88,4
BATCH-004180,2025-01-21,South,Retail,Beverages,3895,120,6
BATCH-004529,2025-01-21,East,Partner,Beverages,6079,192,4
BATCH-004591,2025-01-21,East,Web,Personal Care,2436,55,2
BATCH-004614,2025-01-21,East,Mobile,Personal Care,4936,110,7
BATCH-000481,2025-01-22,North,Mobile,Personal Care,6848,125,8
BATCH-000915,2025-01-22,West,Retail,Beverages,4684,159,3
BATCH-001453,2025-01-22,North,Partner,Grocery,2049,42,1
BATCH-001864,2025-01-22,North,Retail,Beverages,2769,103,5
BATCH-001906,2025-01-22,East,Retail,Pet Care,2310,40,1
BATCH-002456,2025-01-22,East,Retail,Home,8780,88,2
BATCH-002613,2025-01-22,East,Web,Pet Care,11299,173,11
BATCH-002879,2025-01-22,South,Retail,Pet Care,7921,127,3
BATCH-003295,2025-01-22,East,Retail,Personal Care,2758,46,1
BATCH-003487,2025-01-22,North,Retail,Personal Care,6816,122,2
BATCH-003678,2025-01-22,East,Retail,Beverages,964,32,2
BATCH-004294,2025-01-22,North,Retail,Grocery,3656,91,3
BATCH-001283,2025-01-23,North,Retail,Beverages,4642,180,7
BATCH-002089,2025-01-23,North,Retail,Home,4353,61,2
BATCH-002175,2025-01-23,North,Partner,Home,8029,110,3
BATCH-002800,2025-01-23,South,Web,Personal Care,7547,173,7
BATCH-002823,2025-01-23,North,Web,Grocery,2964,72,4
BATCH-003395,2025-01-23,East,Mobile,Beverages,5474,178,6
BATCH-004783,2025-01-23,West,Web,Grocery,2252,44,1
BATCH-000408,2025-01-24,South,Retail,Beverages,1493,57,2
BATCH-001127,2025-01-24,West,Mobile,Personal Care,8910,156,6
BATCH-001496,2025-01-24,South,Partner,Personal Care,3483,57,3
BATCH-001592,2025-01-24,West,Mobile,Home,6631,85,4
BATCH-001666,2025-01-24,West,Web,Home,15334,161,6
BATCH-001830,2025-01-24,North,Mobile,Pet Care,3823,70,3
BATCH-001899,2025-01-24,North,Retail,Grocery,3040,59,2
BATCH-002669,2025-01-24,South,Partner,Pet Care,12556,185,6
BATCH-003178,2025-01-24,East,Mobile,Beverages,3746,137,6
BATCH-003357,2025-01-24,West,Partner,Home,8795,88,2
BATCH-003496,2025-01-24,West,Web,Pet Care,8387,134,4
BATCH-003502,2025-01-24,North,Mobile,Beverages,3759,131,3
BATCH-003586,2025-01-24,West,Mobile,Personal Care,9592,186,5
BATCH-003606,2025-01-24,West,Partner,Pet Care,8186,115,4
BATCH-003632,2025-01-24,East,Retail,Grocery,5563,111,4
BATCH-004385,2025-01-24,North,Retail,Home,5658,62,2
BATCH-004485,2025-01-24,North,Partner,Personal Care,1956,36,1
BATCH-004622,2025-01-24,East,Partner,Beverages,4491,159,5
BATCH-004692,2025-01-24,South,Partner,Home,18071,181,10
BATCH-004735,2025-01-24,North,Partner,Grocery,8469,172,9
BATCH-000239,2025-01-25,West,Mobile,Personal Care,7992,168,11
BATCH-000399,2025-01-25,West,Partner,Grocery,6747,130,2
BATCH-000723,2025-01-25,West,Mobile,Home,15853,187,10
BATCH-000974,2025-01-25,East,Retail,Personal Care,9703,190,9
BATCH-001131,2025-01-25,North,Retail,Home,6682,69,4
BATCH-001659,2025-01-25,North,Web,Personal Care,976,20,1
BATCH-001703,2025-01-25,North,Partner,Grocery,1232,26,1
BATCH-002668,2025-01-25,West,Retail,Home,9472,101,2
BATCH-002758,2025-01-25,East,Web,Grocery,5847,119,8
BATCH-002917,2025-01-25,South,Retail,Beverages,620,24,0
BATCH-003006,2025-01-25,North,Web,Home,5527,58,4
BATCH-004043,2025-01-25,East,Partner,Grocery,4425,86,4
BATCH-004321,2025-01-25,West,Retail,Pet Care,10005,173,6
BATCH-000095,2025-01-26,West,Mobile,Grocery,6639,168,4
BATCH-000667,2025-01-26,South,Web,Personal Care,9658,162,5
BATCH-000708,2025-01-26,East,Retail,Home,5515,62,3
BATCH-001646,2025-01-26,North,Mobile,Grocery,1014,25,1
BATCH-001960,2025-01-26,North,Partner,Beverages,2590,93,2
BATCH-002354,2025-01-26,East,Retail,Grocery,5049,118,5
BATCH-002374,2025-01-26,East,Mobile,Personal Care,9521,174,10
BATCH-002596,2025-01-26,North,Web,Home,7409,78,2
BATCH-002755,2025-01-26,West,Partner,Pet Care,8556,122,6
BATCH-003059,2025-01-26,South,Partner,Beverages,1898,65,2
BATCH-003260,2025-01-26,East,Partner,Grocery,2418,61,3
BATCH-003567,2025-01-26,North,Web,Personal Care,5123,87,4
BATCH-003694,2025-01-26,West,Web,Grocery,2401,56,3
BATCH-004408,2025-01-26,West,Web,Grocery,7067,169,7
BATCH-004581,2025-01-26,North,Partner,Grocery,2547,63,2
BATCH-000488,2025-01-27,North,Retail,Home,1835,22,1
BATCH-000773,2025-01-27,West,Web,Personal Care,9718,171,4
BATCH-000858,2025-01-27,North,Web,Pet Care,6051,85,4
BATCH-000951,2025-01-27,East,Partner,Personal Care,10378,184,4
BATCH-001010,2025-01-27,West,Partner,Beverages,1932,60,2
BATCH-001276,2025-01-27,South,Web,Personal Care,6389,131,8
BATCH-002257,2025-01-27,West,Retail,Pet Care,5881,84,2
BATCH-002272,2025-01-27,South,Partner,Grocery,1932,49,1
BATCH-002826,2025-01-27,South,Web,Grocery,4211,107,5
BATCH-002936,2025-01-27,South,Retail,Grocery,7167,143,4
BATCH-004150,2025-01-27,East,Web,Beverages,5498,168,6
BATCH-004157,2025-01-27,West,Partner,Home,15959,178,3
BATCH-004244,2025-01-27,East,Web,Beverages,2241,90,2
BATCH-001001,2025-01-28,West,Partner,Grocery,6300,149,2
BATCH-001616,2025-01-28,South,Partner,Grocery,2053,44,2
BATCH-001720,2025-01-28,West,Mobile,Pet Care,5754,107,2
BATCH-001979,2025-01-28,West,Partner,Personal Care,8691,160,6
BATCH-002240,2025-01-28,East,Mobile,Personal Care,7397,166,9
BATCH-002355,2025-01-28,West,Web,Beverages,3543,115,3
BATCH-002806,2025-01-28,South,Retail,Grocery,1758,36,0
BATCH-003003,2025-01-28,East,Partner,Beverages,2191,92,3
BATCH-003221,2025-01-28,North,Web,Beverages,896,34,2
BATCH-003419,2025-01-28,East,Mobile,Home,12674,176,7
BATCH-003895,2025-01-28,West,Mobile,Grocery,5904,147,9
BATCH-004097,2025-01-28,West,Web,Pet Care,6776,120,3
BATCH-004436,2025-01-28,South,Partner,Pet Care,4926,86,2
BATCH-004788,2025-01-28,South,Retail,Personal Care,4786,109,3
BATCH-000439,2025-01-29,West,Retail,Home,13531,144,8
BATCH-000647,2025-01-29,East,Retail,Home,4357,52,3
BATCH-001022,2025-01-29,East,Mobile,Pet Care,11057,177,10
BATCH-001435,2025-01-29,West,Partner,Grocery,4302,86,5
BATCH-002313,2025-01-29,South,Web,Pet Care,13039,198,10
BATCH-002426,2025-01-29,West,Mobile,Grocery,5634,155,8
BATCH-002457,2025-01-29,South,Partner,Grocery,2601,57,3
BATCH-002463,2025-01-29,East,Retail,Grocery,2678,56,3
BATCH-003613,2025-01-29,North,Web,Beverages,5480,168,10
BATCH-003801,2025-01-29,East,Partner,Home,7709,76,3
BATCH-003903,2025-01-29,North,Partner,Grocery,7481,158,5
BATCH-003970,2025-01-29,East,Web,Beverages,1580,48,3
BATCH-004258,2025-01-29,North,Retail,Home,12016,131,4
BATCH-000018,2025-01-30,East,Mobile,Beverages,4878,179,6
